id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
197677,Rental unit in Sumida · ★4.78 · 1 bedroom · 2 beds · 1 bath,964081,Yoshimi & Marek,,Sumida Ku,35.71707,139.82608,Entire home/apt,11000,3,173,2023-05-30,1.21,1,24,8,M130003350
776070,Home in Kita-ku · ★4.98 · 1 bedroom · 1 bed · 1 shared bath,801494,Kei,,Kita Ku,35.73844,139.76917,Private room,7208,3,243,2023-06-20,1.89,1,67,15,
3427384,Rental unit in Edogawa · ★4.82 · 1 bedroom · 2 beds · 1.5 baths,13018876,Masakatsu,,Edogawa Ku,35.68374,139.85971,Entire home/apt,7847,2,100,2023-05-22,0.93,2,231,19,Hotels and Inns Business Act | 東京都江戸川区保健所 | 18江衛環01第42号
905944,Rental unit in Shibuya · ★4.76 · 2 bedrooms · 4 beds · 1 bath,4847803,Best Stay In Tokyo!,,Shibuya Ku,35.67878,139.67847,Entire home/apt,23066,3,186,2023-06-26,1.49,5,229,1,Hotels and Inns Business Act | 渋谷区保健所長 | 31渋健生収第4972号
3514008,Rental unit in Arakawa-ku · ★4.86 · 1 bedroom · 2 beds · 1 bath,17694529,Hisao,,Arakawa Ku,35.72672,139.78201,Entire home/apt,2871,1,269,2023-06-08,2.59,9,11,29,Hotels and Inns Business Act | 東京都荒川区保健所 | 31荒保衛環へ第１3号
1016831,Home in Setagaya · ★4.94 · 1 bedroom · 2 beds · 1 shared bath,5596383,Wakana,,Setagaya Ku,35.658,139.67134,Private room,16000,1,244,2023-06-01,1.96,1,101,33,
3563698,Rental unit in Machida · ★4.87 · 1 bedroom · 2 beds · 1 bath,11583876,Ken,,Machida Shi,35.58911,139.48023,Entire home/apt,4814,3,120,2023-06-21,1.11,1,224,13,M130000249
1196177,Home in 足立区 · ★4.71 · 1 bedroom · 1.5 shared baths,5686404,Yukiko,,Adachi Ku,35.744730998785165,139.79738412263163,Private room,10000,2,95,2020-03-17,0.79,1,81,0,
3572139,Home in Toshima-ku · ★4.85 · 3 bedrooms · 6 beds · 1 bath,15514130,Tomo,,Toshima Ku,35.72784292965493,139.73408415595273,Entire home/apt,31229,3,201,2023-06-22,2.10,1,196,31,M130001001
1249571,Home in Shibuya · ★4.96 · 1 bedroom · 1 bed · 1 bath,6809418,Yume,,Shibuya Ku,35.65111,139.72165,Entire home/apt,54782,7,116,2023-06-01,0.97,1,189,10,M130000957
3623844,Rental unit in Edogawa · ★4.86 · 1 bedroom · 4 beds · 1.5 baths,13018876,Masakatsu,,Edogawa Ku,35.68358,139.85985,Entire home/apt,7538,2,77,2023-06-22,0.77,2,210,12,Hotels and Inns Business Act | 東京都江戸川区保健所 | 18江衛環01第42号
3689244,Rental unit in Shibuya-ku · ★4.69 · 2 bedrooms · 3 beds · 1 bath,18776800,LiveinAsia,,Shibuya Ku,35.67205,139.67877,Entire home/apt,32714,3,26,2023-06-20,0.25,19,97,13,M130003456
1263000,Home in Setagaya · ★4.79 · 1 bedroom · 2 beds · 1 shared bath,6876728,Haruko,,Setagaya Ku,35.60742,139.67616,Private room,7571,2,186,2023-06-27,1.53,1,282,2,
1298200,Home in Katsushika · ★4.93 · 2 bedrooms · 4 beds · 2 baths,6606987,K & N,,Katsushika Ku,35.73987,139.85176,Entire home/apt,16000,1,369,2023-06-12,3.03,2,116,26,M130009943
1306664,Rental unit in Shinjuku · ★4.91 · 1 bedroom · 1 bed · 1 bath,7103955,Masaharu,,Shinjuku Ku,35.70263,139.74147,Entire home/apt,39143,3,186,2023-06-11,1.57,2,13,21,M130003681
3744742,Rental unit in Kita-ku · ★4.30 · 1 bedroom · 5 beds · 1 bath,19152993,Sei,,Kita Ku,35.76105,139.716,Entire home/apt,8714,3,220,2023-05-25,2.08,8,252,9,M130004689
3775528,Home in Setagaya · ★4.98 · 1 bedroom · 1 bed · 1 shared bath,19358663,Mikako,,Setagaya Ku,35.62942,139.63077,Private room,14416,1,86,2023-05-19,0.80,1,103,3,
1394124,Home in Meguro · ★4.77 · 2 bedrooms · 2 beds · 2.5 baths,5710367,David,,Meguro Ku,35.62039,139.69983,Entire home/apt,29286,2,265,2023-06-23,2.20,1,67,31,Hotels and Inns Business Act | 目黒区保健所 | 目健衛環き第88号
3793206,Rental unit in 新宿区 · ★4.90 · 1 bedroom · 1 bed · 1 shared bath,8142772,Min & Haru,,Shinjuku Ku,35.69847,139.70432,Private room,6551,2,226,2023-06-14,2.10,11,40,14,
1441639,Rental unit in Katsushika · ★4.93 · 1 bedroom · 1.5 baths,7740848,K Family,,Katsushika Ku,35.7362,139.85178,Entire home/apt,15257,4,323,2023-06-22,2.68,5,16,17,M130002147
3814258,Rental unit in Suginami-ku · ★4.73 · 1 bedroom · 3 beds · 1 bath,19611972,岩間,,Suginami Ku,35.70293,139.60045,Entire home/apt,7964,3,191,2023-05-09,1.80,3,71,21,Hotels and Inns Business Act | 杉並区杉並保健所 | 22　杉並第　37960　号
1526132,Rental unit in 新宿区 · ★4.84 · 1 bedroom · 1 shared bath,8142772,Min & Haru,,Shinjuku Ku,35.69857,139.704,Private room,7980,2,193,2023-06-28,1.61,11,63,36,
1544970,Rental unit in 新宿区 · ★4.85 · 1 bedroom · 1 shared bath,8142772,Min & Haru,,Shinjuku Ku,35.69848,139.70432,Private room,7980,2,141,2023-06-22,1.18,11,52,8,
3838856,Home in Shinjuku · ★4.88 · 3 bedrooms · 5 beds · 1.5 baths,4626879,Tracey,,Shibuya Ku,35.68245,139.69009,Entire home/apt,23124,1,204,2023-06-25,1.91,5,143,29,M130018884
1571298,Rental unit in 新宿区 · ★4.81 · 1 bedroom · 8 beds · 1 shared bath,8142772,Min & Haru,,Shinjuku Ku,35.69847,139.70433,Shared room,5980,2,179,2023-05-15,1.50,11,195,11,M130002186
3845889,Rental unit in Suginami-ku · ★4.86 · 1 bedroom · 1 bed · 1 bath,19089769,Manami,,Suginami Ku,35.70679,139.6551,Entire home/apt,12000,3,96,2020-03-18,1.09,2,0,0,M130000777
1574946,Rental unit in 新宿区 · ★4.82 · 1 bedroom · 8 beds · 1 shared bath,8142772,Min & Haru,,Shinjuku Ku,35.69848,139.70433,Shared room,5980,2,154,2023-06-05,1.30,11,193,13,M130002186
3846001,Rental unit in Suginami-ku · ★4.91 · 1 bedroom · 2 beds · 1 bath,19089769,Manami,,Suginami Ku,35.70686,139.65543,Entire home/apt,12000,14,123,2020-03-07,1.15,2,0,0,M130008732
1600454,Home in Setagaya · ★4.80 · 1 bedroom · 1 bed · 1 shared bath,8529477,Mari,,Setagaya Ku,35.65897,139.60988,Private room,3300,2,45,2022-09-11,0.38,2,26,1,
3871442,Rental unit in Suginami-ku · ★4.86 · 1 bedroom · 1 bed · 1 bath,18776800,LiveinAsia,,Suginami Ku,35.70399,139.59775,Entire home/apt,14857,3,36,2020-02-02,0.34,19,1,0,M130002734
1600758,Home in Setagaya City · ★4.95 · 1 bedroom · 1 bed · 1.5 shared baths,8529477,Mari,,Setagaya Ku,35.65933,139.60847,Private room,3300,2,21,2023-06-23,0.35,2,0,7,
3886601,Home in Shibuya · ★4.60 · 3 bedrooms · 6 beds · 1.5 baths,10415965,Azabu,,Shibuya Ku,35.64966,139.72181,Entire home/apt,46143,10,139,2023-06-24,1.30,2,174,7,M130003789
1732795,Home in Katsushika · ★4.90 · 4 bedrooms · 5 beds · 2 baths,6606987,K & N,,Katsushika Ku,35.73784,139.85201,Entire home/apt,35343,1,336,2023-06-17,2.85,2,172,28,Hotels and Inns Business Act | 葛飾区保健所 | 4葛保生環令第75号
1749157,Home in Ōta-ku · ★4.78 · 6 bedrooms · 9 beds · 2 baths,9203725,Tokyo,,Ota Ku,35.58958,139.72636,Entire home/apt,75000,2,59,2023-06-07,0.50,1,150,5,M130032025
3920124,Home in Higashimurayama-shi · ★4.90 · 2 bedrooms · 6 beds · 1 bath,20307199,Hotaka,,Higashimurayama Shi,35.76577,139.44678,Entire home/apt,43249,30,133,2021-06-11,1.34,3,364,0,M130000495
1919541,Home in Shinagawaku · ★4.87 · 1 bedroom · 1 bed · 1.5 shared baths,9951050,Takashi&Li,,Shinagawa Ku,35.61794,139.72313,Private room,5000,30,234,2023-05-31,2.00,1,95,2,
3956263,Tiny home in Shibuya · ★4.79 · 2 bedrooms · 3 beds · 1 bath,4847803,Best Stay In Tokyo!,,Shibuya Ku,35.67813,139.67913,Entire home/apt,15858,2,112,2023-06-22,1.06,5,124,25,Hotels and Inns Business Act | 渋谷区保健所長 | 31渋建生収第７７０号
4026948,Home in Shinagawa · ★4.39 · 1 bedroom · 2 beds · 2 shared baths,20878710,Daisuke,,Shinagawa Ku,35.60033,139.73415,Private room,3589,3,127,2019-12-31,1.20,1,0,0,
1997959,Condo in 世田谷区 · ★4.91 · 2 bedrooms · 2 beds · 1 bath,10294366,Ryusuke,,Setagaya Ku,35.63858,139.64624,Entire home/apt,33000,4,118,2023-06-11,1.04,1,290,10,M130000611
4047596,Condo in Shinagawa · ★4.84 · 2 bedrooms · 4 beds · 1.5 baths,6504053,Bryan,,Shinagawa Ku,35.62633,139.7235,Entire home/apt,30000,6,215,2023-06-10,2.02,2,151,19,Hotels and Inns Business Act | 品川区保健所 | 5品保生環き第2号
2238472,Home in Shibuya-ku · ★4.94 · 1 bedroom · 4 beds · 2 baths,11430874,Kako & Keiko,,Shibuya Ku,35.67191,139.68367,Private room,35000,2,165,2023-06-11,1.46,1,32,8,
2491507,Rental unit in 新宿区 · ★4.77 · 1 bedroom · 8 beds · 1 shared bath,8142772,Min & Haru,,Shinjuku Ku,35.69847,139.70433,Shared room,5980,2,89,2023-05-26,0.79,11,195,7,M130002186
4050925,Home in Taito city · ★4.94 · 2 bedrooms · 1 bath,21004633,Yoshi,,Taito Ku,35.71431,139.79885,Entire home/apt,38571,2,528,2023-06-26,4.96,6,0,43,Hotels and Inns Business Act | 東京都台東区台東保健所 | 30台台健生環き第122号
2602722,Rental unit in 新宿区 · ★4.82 · 1 bedroom · 8 beds · 1 shared bath,8142772,Min & Haru,,Shinjuku Ku,35.69848,139.70433,Shared room,5980,2,169,2023-06-04,1.50,11,188,12,M130002186
4141228,Rental unit in Nakano-ku · ★4.72 · 1 bedroom · 1 bed · 1 bath,17736560,タツロウ (Taturo),,Nakano Ku,35.73417,139.63328,Entire home/apt,10091,3,83,2023-05-19,0.83,9,90,11,Hotels and Inns Business Act | 中野区保健所 | 30中環生環第52号
4222643,Home in Koto-ku · ★4.94 · 1 bedroom · 1 bath,21769906,Decoboco,,Koto Ku,35.6806,139.81931,Entire home/apt,10571,1,312,2023-04-24,2.94,3,2,2,M130015171
2602791,Rental unit in 新宿区 · ★4.73 · 1 bedroom · 8 beds · 1 shared bath,8142772,Min & Haru,,Shinjuku Ku,35.69848,139.70435,Shared room,5980,2,74,2023-05-09,0.66,11,195,3,M130002186
4388283,Home in 国分寺市 · ★4.88 · 1 bedroom · 1.5 shared baths,10969488,Como,,Kokubunji Shi,35.70919,139.48074,Private room,4964,2,68,2023-04-27,0.66,4,262,9,
2645379,Rental unit in 新宿区 · ★4.75 · 1 bedroom · 8 beds · 1 shared bath,8142772,Min & Haru,,Shinjuku Ku,35.69848,139.70433,Shared room,5980,2,73,2023-05-27,0.65,11,191,1,M130002186
4396219,Rental unit in Suginami-ku · ★4.82 · 1 bedroom · 2 beds · 1 bath,18776800,LiveinAsia,,Suginami Ku,35.70399,139.59775,Entire home/apt,16071,3,44,2023-06-27,0.42,19,53,15,M130002742
2803972,Guest suite in Akishima-shi · ★4.77 · 1 bedroom · 1 bed · 1 bath,13465066,Tomoyuki&Maki,,Akishima Shi,35.70561,139.37975,Entire home/apt,4600,3,36,2023-05-31,0.34,2,36,6,M130000081
4396221,Rental unit in Suginami-ku · ★4.57 · 1 bedroom · 1 bed · 1 bath,18776800,LiveinAsia,,Suginami Ku,35.70399,139.59775,Entire home/apt,18071,3,23,2021-04-01,0.23,19,130,0,M130002749
2839061,Home in Bunkyō-ku · ★4.89 · 1 bedroom · 1 bed · 2 shared baths,4839990,Toshiyuki,,Bunkyo Ku,35.72035,139.76445,Private room,9082,4,93,2023-06-15,0.96,1,38,16,
4471640,Home in Higashimurayama · ★5.0 · Studio · 2 beds · 1.5 baths,22643572,Sachiko,,Higashimurayama Shi,35.75828,139.48037,Private room,4071,3,13,2020-03-28,0.13,2,43,0,
4495014,Rental unit in Kita-ku · ★4.50 · 1 bedroom · 5 beds · 1 bath,19152993,Sei,,Kita Ku,35.76111,139.71576,Entire home/apt,10514,3,206,2023-04-01,2.00,8,240,6,M130033311
2867835,Rental unit in 足立区 · ★4.25 · 1 bedroom · 3 beds · 1 bath,9360394,Vann Amor,,Adachi Ku,35.79124,139.79102,Entire home/apt,12200,7,8,2023-04-04,0.08,4,83,2,M130004932
2883497,Hut in Taito · ★4.75 · 2 bedrooms · 6 beds · 1 bath,6969809,Kota,,Taito Ku,35.72208,139.78049,Entire home/apt,22243,1,273,2023-06-10,2.48,1,217,19,Hotels and Inns Business Act | 東京都台東区台東保健所 | 30台台健生環き第79号
